RK,TIERS,PLAYER NAME,TEAM,FAN PTS,YDS,TDS,REC,YDS,TDS,ATT,YDS,TDS
211,11,Brian Robinson Jr.,WAS,0,0,0,0,0,0,0,0,0
212,11,Sterling Shepard,NYG,11.1,0.0,0.0,5.1,52.3,0.1,0.1,-1.3,0.0
213,11,Kansas City Chiefs,KC,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,11,Donovan Peoples-Jones,CLE,7.8,0.0,0.0,2.4,42.6,0.2,0.0,0.0,0.0
215,11,Ryan Succop,TB,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,11,Cleveland Browns,CLE,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,11,Tyrion Davis-Price,SF,0,0,0,0,0,0,0,0,0
218,11,Sony Michel,LAC,8.6,0.0,0.0,1.2,7.5,0.1,12.2,49.7,0.2
219,11,David Bell,CLE,0,0,0,0,0,0,0,0,0
220,11,Baltimore Ravens,BAL,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,11,Matt Prater,ARI,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,11,Kenyan Drake,BAL,8.5,0.0,0.0,2.5,24.3,0.1,5.3,21.2,0.2
223,11,Jamison Crowder,BUF,9.1,0.0,0.0,4.3,37.3,0.2,0.0,0.0,0.0
224,11,Carson Wentz,WAS,15.6,209.6,1.6,0.0,0.0,0.0,3.4,12.6,0.1
225,11,Pittsburgh Steelers,PIT,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,11,Mo Alie-Cox,IND,4.7,0.0,0.0,1.4,18.6,0.2,0.0,0.0,0.0
227,11,Curtis Samuel,WAS,2.0,0.0,0.0,1.2,5.4,0.0,0.8,2.2,0.0
228,11,Baker Mayfield,CAR,13.8,215.0,1.2,0.0,0.0,0.0,2.6,9.6,0.1
229,11,Zay Jones,JAC,7.1,0.0,0.0,3.1,36.4,0.1,0.1,0.2,0.0
230,11,Philadelphia Eagles,PHI,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,12,Rodrigo Blankenship,IND,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,12,Eno Benjamin,ARI,3.5,0.0,0.0,0.8,5.3,0.0,4.3,14.8,0.1
233,12,D'Ernest Johnson,CLE,8.0,0.0,0.0,1.5,10.5,0.0,7.7,41.1,0.2
234,12,Mike Davis,BAL,8.1,0.0,0.0,2.6,15.2,0.1,8.1,29.6,0.2
235,12,A.J. Green,ARI,9.8,0.0,0.0,3.4,53.0,0.2,0.0,0.0,0.0
236,12,Chuba Hubbard,CAR,8.6,0.0,0.0,1.6,10.9,0.1,10.8,38.3,0.3
237,12,Jason Sanders,MIA,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,12,Arizona Cardinals,ARI,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,12,Ronald Jones II,KC,5.3,0.0,0.0,0.7,4.3,0.0,6.7,28.5,0.3
240,12,Sammy Watkins,GB,6.4,0.0,0.0,2.5,35.8,0.1,0.0,0.0,0.0
241,12,Kendrick Bourne,NE,10.6,0.0,0.0,3.2,47.1,0.3,0.7,7.4,0.0
242,12,Brandon McManus,DEN,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,12,Nick Folk,NE,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,12,Jonnu Smith,NE,4.2,0.0,0.0,1.8,18.4,0.1,0.6,2.5,0.0
245,12,Gus Edwards,BAL,0,0,0,0,0,0,0,0,0
246,12,Davis Mills,HOU,12.8,204.9,1.2,0.0,0.0,0.0,1.4,3.4,0.0
247,12,Braxton Berrios,NYJ,7.6,0.0,0.0,2.9,26.9,0.1,0.4,2.5,0.1
248,12,Robbie Gould,SF,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,12,Cincinnati Bengals,CIN,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,12,Younghoe Koo,ATL,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,12,Dustin Hopkins,LAC,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,12,Zach Wilson,NYJ,12.5,179.5,0.7,0.0,0.0,0.0,2.2,14.2,0.3
253,12,Randall Cobb,GB,8.5,0.0,0.0,2.5,34.1,0.5,0.1,0.1,0.0
254,12,Byron Pringle,CHI,7.9,0.0,0.0,2.6,35.5,0.3,0.0,0.0,0.0
255,12,Ameer Abdullah,LV,5.3,0.0,0.0,2.2,17.0,0.1,3.0,9.8,0.0
256,12,Cameron Brate,TB,4.9,0.0,0.0,1.9,15.3,0.3,0.0,0.0,0.0
257,12,Tennessee Titans,TEN,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258,12,Nelson Agholor,NE,6.9,0.0,0.0,2.5,31.5,0.2,0.2,0.7,0.0
259,12,Terrace Marshall Jr.,CAR,2.7,0.0,0.0,1.4,11.5,0.0,0.0,0.0,0.0
260,12,Zack Moss,BUF,8.1,0.0,0.0,1.8,15.2,0.1,7.4,26.5,0.3
261,12,Jake Elliott,PHI,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,12,Chris Evans,CIN,5.5,0.0,0.0,1.7,16.8,0.2,1.9,8.6,0.0
263,12,Laviska Shenault Jr.,CAR,7.9,0.0,0.0,3.9,38.7,0.0,0.7,2.6,0.0
264,12,Marcus Mariota,ATL,2.1,0.6,0.0,0.0,0.0,0.0,1.9,12.4,0.1
265,12,Adam Trautman,NO,5.8,0.0,0.0,2.5,23.9,0.2,0.0,0.0,0.0
266,12,Bryan Edwards,ATL,6.8,0.0,0.0,2.1,35.7,0.2,0.1,0.0,0.0
267,12,Nick Westbrook-Ikhine,TEN,7.2,0.0,0.0,2.5,31.7,0.3,0.0,0.0,0.0
268,12,Minnesota Vikings,MIN,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
269,12,C.J. Uzomah,NYJ,8.0,0.0,0.0,3.1,30.8,0.3,0.0,0.0,0.0
270,12,Greg Joseph,MIN,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271,12,Carolina Panthers,CAR,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
