RK,TIERS,PLAYER NAME,TEAM,POS,BYE WEEK,SOS SEASON,ECR VS. ADP
158,10,Joshua Palmer,LAC,WR63,8,3 out of 5 stars,34
159,10,Kenny Golladay,NYG,WR64,9,4 out of 5 stars,40
160,10,Robert Tonyan,GB,TE23,14,1 out of 5 stars,15
161,10,Indianapolis Colts,IND,DST4,14,3 out of 5 stars,-43
162,10,Jameis Winston,NO,QB20,14,3 out of 5 stars,-1
163,10,Wan'Dale Robinson,NYG,WR65,9,4 out of 5 stars,73
164,10,Isiah Pacheco,KC,RB52,8,3 out of 5 stars,30
165,10,Zamir White,LV,RB53,6,2 out of 5 stars,25
166,10,Mark Ingram II,NO,RB54,14,3 out of 5 stars,12
167,10,Isaiah McKenzie,BUF,WR66,7,4 out of 5 stars,7
168,10,Mecole Hardman,KC,WR67,8,2 out of 5 stars,-6
169,10,Marvin Jones Jr.,JAC,WR68,11,4 out of 5 stars,41
170,10,New Orleans Saints,NO,DST5,14,3 out of 5 stars,-39
171,10,Justin Tucker,BAL,K1,10,3 out of 5 stars,-67
172,10,Los Angeles Rams,LAR,DST6,7,3 out of 5 stars,-48
173,10,Ryan Tannehill,TEN,QB21,6,4 out of 5 stars,7
174,10,Denver Broncos,DEN,DST7,9,3 out of 5 stars,-11
175,10,Corey Davis,NYJ,WR69,10,1 out of 5 stars,65
176,10,Robbie Anderson,CAR,WR70,13,3 out of 5 stars,26
177,10,Jalen Tolbert,DAL,WR71,9,3 out of 5 stars,23
178,10,K.J. Osborn,MIN,WR72,7,2 out of 5 stars,60
179,10,Hayden Hurst,CIN,TE24,10,2 out of 5 stars,16
180,10,Tyler Bass,BUF,K2,7,4 out of 5 stars,-53
181,10,New England Patriots,NE,DST8,10,3 out of 5 stars,-21
182,10,Romeo Doubs,GB,WR73,14,3 out of 5 stars,-6
183,11,Mac Jones,NE,QB22,10,4 out of 5 stars,-2
184,11,Daniel Jones,NYG,QB23,9,5 out of 5 stars,33
185,11,Matt Gay,LAR,K3,7,2 out of 5 stars,-53
186,11,Brevin Jordan,HOU,TE25,6,3 out of 5 stars,73
187,11,Jeff Wilson Jr.,SF,RB55,9,2 out of 5 stars,67
188,11,Dallas Cowboys,DAL,DST9,9,2 out of 5 stars,-52
189,11,Evan McPherson,CIN,K4,10,0 out of 5 stars,-67
190,11,Logan Thomas,WAS,TE26,14,4 out of 5 stars,30
191,11,Boston Scott,PHI,RB56,7,3 out of 5 stars,90
192,11,Isaiah Spiller,LAC,RB57,8,2 out of 5 stars,22
193,11,Los Angeles Chargers,LAC,DST10,8,4 out of 5 stars,-49
194,11,Van Jefferson,LAR,WR74,7,2 out of 5 stars,29
195,11,Jared Goff,DET,QB24,6,3 out of 5 stars,13
196,11,Green Bay Packers,GB,DST11,14,3 out of 5 stars,-57
197,11,D'Onta Foreman,CAR,RB58,13,3 out of 5 stars,31
198,11,KJ Hamler,DEN,WR75,9,4 out of 5 stars,47
199,11,Samaje Perine,CIN,RB59,10,3 out of 5 stars,80
200,11,Darrel Williams,ARI,RB60,13,2 out of 5 stars,33
201,11,Jerick McKinnon,KC,RB61,8,3 out of 5 stars,24
202,11,Daniel Carlson,LV,K5,6,2 out of 5 stars,-74
203,11,Miami Dolphins,MIA,DST12,11,3 out of 5 stars,-36
204,11,Rex Burkhead,HOU,RB62,6,3 out of 5 stars,42
205,11,Alec Pierce,IND,WR76,14,4 out of 5 stars,19
206,11,Harrison Butker,KC,K6,8,5 out of 5 stars,-86
207,11,Parris Campbell,IND,WR77,14,4 out of 5 stars,37
208,11,Christian Watson,GB,WR78,14,3 out of 5 stars,-3
209,11,Jameson Williams,DET,WR79,6,3 out of 5 stars,10
210,11,Damien Williams,ATL,RB63,14,1 out of 5 stars,91
211,11,Brian Robinson Jr.,WAS,RB64,14,4 out of 5 stars,-61
212,11,Sterling Shepard,NYG,WR80,9,4 out of 5 stars,123
213,11,Kansas City Chiefs,KC,DST13,8,3 out of 5 stars,-16
214,11,Donovan Peoples-Jones,CLE,WR81,9,4 out of 5 stars,47
215,11,Ryan Succop,TB,K7,11,1 out of 5 stars,-38
216,11,Cleveland Browns,CLE,DST14,9,4 out of 5 stars,-25
217,11,Tyrion Davis-Price,SF,RB65,9,2 out of 5 stars,24
218,11,Sony Michel,LAC,RB66,8,2 out of 5 stars,42
219,11,David Bell,CLE,WR82,9,4 out of 5 stars,52
220,11,Baltimore Ravens,BAL,DST15,10,4 out of 5 stars,-66
221,11,Matt Prater,ARI,K8,13,2 out of 5 stars,-72
222,11,Kenyan Drake,BAL,RB67,10,4 out of 5 stars,-6
223,11,Jamison Crowder,BUF,WR83,7,4 out of 5 stars,53
224,11,Carson Wentz,WAS,QB25,14,4 out of 5 stars,-2
225,11,Pittsburgh Steelers,PIT,DST16,9,5 out of 5 stars,-52
226,11,Mo Alie-Cox,IND,TE27,14,2 out of 5 stars,86
227,11,Curtis Samuel,WAS,WR84,14,4 out of 5 stars,45
228,11,Baker Mayfield,CAR,QB26,13,3 out of 5 stars,-44
229,11,Zay Jones,JAC,WR85,11,4 out of 5 stars,80
230,11,Philadelphia Eagles,PHI,DST17,7,2 out of 5 stars,-41
231,12,Rodrigo Blankenship,IND,K9,14,4 out of 5 stars,-22
232,12,Eno Benjamin,ARI,RB68,13,2 out of 5 stars,20
233,12,D'Ernest Johnson,CLE,RB69,9,3 out of 5 stars,51
234,12,Mike Davis,BAL,RB70,10,4 out of 5 stars,21
235,12,A.J. Green,ARI,WR86,13,2 out of 5 stars,-9
236,12,Chuba Hubbard,CAR,RB71,13,3 out of 5 stars,-30
237,12,Jason Sanders,MIA,K10,11,1 out of 5 stars,28
238,12,Arizona Cardinals,ARI,DST18,13,3 out of 5 stars,18
239,12,Ronald Jones II,KC,RB72,8,3 out of 5 stars,-41
240,12,Sammy Watkins,GB,WR87,14,3 out of 5 stars,-25
241,12,Kendrick Bourne,NE,WR88,10,4 out of 5 stars,17
242,12,Brandon McManus,DEN,K11,9,4 out of 5 stars,-72
243,12,Nick Folk,NE,K12,10,5 out of 5 stars,-74
244,12,Jonnu Smith,NE,TE28,10,4 out of 5 stars,83
245,12,Gus Edwards,BAL,RB73,10,4 out of 5 stars,22
246,12,Davis Mills,HOU,QB27,6,4 out of 5 stars,28
247,12,Braxton Berrios,NYJ,WR89,10,1 out of 5 stars,40
248,12,Robbie Gould,SF,K13,9,3 out of 5 stars,-52
249,12,Cincinnati Bengals,CIN,DST19,10,4 out of 5 stars,-31
250,12,Younghoe Koo,ATL,K14,14,1 out of 5 stars,-86
251,12,Dustin Hopkins,LAC,K15,8,5 out of 5 stars,-2
252,12,Zach Wilson,NYJ,QB28,10,1 out of 5 stars,-17
253,12,Randall Cobb,GB,WR90,14,3 out of 5 stars,0
254,12,Byron Pringle,CHI,WR91,14,3 out of 5 stars,94
255,12,Ameer Abdullah,LV,RB74,6,2 out of 5 stars,11
256,12,Cameron Brate,TB,TE29,11,3 out of 5 stars,-17
257,12,Tennessee Titans,TEN,DST20,6,2 out of 5 stars,-28
258,12,Nelson Agholor,NE,WR92,10,4 out of 5 stars,82
259,12,Terrace Marshall Jr.,CAR,WR93,13,3 out of 5 stars,-
260,12,Zack Moss,BUF,RB75,7,4 out of 5 stars,20
261,12,Jake Elliott,PHI,K16,7,2 out of 5 stars,-30
262,12,Chris Evans,CIN,RB76,10,3 out of 5 stars,70
263,12,Laviska Shenault Jr.,CAR,WR94,13,3 out of 5 stars,75
264,12,Marcus Mariota,ATL,QB29,14,3 out of 5 stars,-34
265,12,Adam Trautman,NO,TE30,14,4 out of 5 stars,-
266,12,Bryan Edwards,ATL,WR95,14,4 out of 5 stars,-
267,12,Nick Westbrook-Ikhine,TEN,WR96,6,3 out of 5 stars,-
268,12,Minnesota Vikings,MIN,DST21,7,2 out of 5 stars,-36
269,12,C.J. Uzomah,NYJ,TE31,10,3 out of 5 stars,-1
270,12,Greg Joseph,MIN,K17,7,0 out of 5 stars,-58
271,12,Carolina Panthers,CAR,DST22,13,4 out of 5 stars,-1
272,12,Matt Breida,NYG,RB77,9,3 out of 5 stars,-10
273,12,Wil Lutz,NO,K18,14,4 out of 5 stars,-69
274,12,Chris Boswell,PIT,K19,9,3 out of 5 stars,-73
275,12,Cedrick Wilson Jr.,MIA,WR97,11,2 out of 5 stars,59
276,12,Mason Crosby,GB,K20,14,4 out of 5 stars,-55
277,12,Daniel Bellinger,NYG,TE32,9,4 out of 5 stars,-
278,12,Devin Duvernay,BAL,WR98,10,3 out of 5 stars,10
279,12,Dan Arnold,JAC,TE33,11,4 out of 5 stars,-
280,13,Myles Gaskin,MIA,RB78,11,4 out of 5 stars,-43
281,13,Dontrell Hilliard,TEN,RB79,6,4 out of 5 stars,-30
282,13,Washington Commanders,WAS,DST23,14,1 out of 5 stars,-39
283,13,Tyler Conklin,NYJ,TE34,10,3 out of 5 stars,7
284,13,Isaiah Likely,BAL,TE35,10,2 out of 5 stars,-50
285,13,Chicago Bears,CHI,DST24,14,1 out of 5 stars,-16
286,13,Velus Jones Jr.,CHI,WR99,14,3 out of 5 stars,-
287,13,Graham Gano,NYG,K21,9,1 out of 5 stars,-40
288,13,Greg Zuerlein,NYJ,K22,10,0 out of 5 stars,5
289,13,Randy Bullock,TEN,K23,6,3 out of 5 stars,-32
290,13,Kyle Rudolph,TB,TE36,11,3 out of 5 stars,-42
291,13,Hassan Haskins,TEN,RB80,6,4 out of 5 stars,-6
292,13,Quez Watkins,PHI,WR100,7,4 out of 5 stars,53
293,13,Kyle Philips,TEN,WR101,6,3 out of 5 stars,-
294,13,New York Giants,NYG,DST25,9,2 out of 5 stars,17
295,13,Joshua Kelley,LAC,RB81,8,2 out of 5 stars,-6
296,13,Jason Myers,SEA,K24,11,5 out of 5 stars,-10
297,13,Trey McBride,ARI,TE37,13,3 out of 5 stars,-
298,13,Deshaun Watson,CLE,QB30,9,4 out of 5 stars,-110
299,13,Marquez Callaway,NO,WR102,14,4 out of 5 stars,-17
300,13,Trey Sermon,PHI,RB82,7,3 out of 5 stars,53
301,13,Seattle Seahawks,SEA,DST26,11,3 out of 5 stars,-1
302,13,Mitch Trubisky,PIT,QB31,9,3 out of 5 stars,-52
303,13,New York Jets,NYJ,DST27,10,4 out of 5 stars,19
304,13,Cairo Santos,CHI,K25,14,3 out of 5 stars,-27
305,13,Tommy Tremble,CAR,TE38,13,3 out of 5 stars,-
306,13,Josh Reynolds,DET,WR103,6,3 out of 5 stars,-
307,13,Jaylen Warren,PIT,RB83,9,3 out of 5 stars,1
308,13,Harrison Bryant,CLE,TE39,9,4 out of 5 stars,-
309,13,Greg Dulcich,DEN,TE40,9,3 out of 5 stars,-
310,13,Jacoby Brissett,CLE,QB32,9,4 out of 5 stars,-
311,13,Giovani Bernard,TB,RB84,11,2 out of 5 stars,-
312,13,Geno Smith,SEA,QB33,11,3 out of 5 stars,-
313,13,Ke'Shawn Vaughn,TB,RB85,11,2 out of 5 stars,-38
314,13,Ka'imi Fairbairn,HOU,K26,6,4 out of 5 stars,37
315,13,Ty Montgomery,NE,RB86,10,4 out of 5 stars,-
316,13,Kenny Pickett,PIT,QB34,9,3 out of 5 stars,-103
317,13,Jacksonville Jaguars,JAC,DST28,11,2 out of 5 stars,32
